Season,Team,Name,Games_Played,Games_Started,Minutes_Played,Goals,Assists,Shots_On_Goal,Shots,Yellow_Cards,Red_Cards
2013/2014,FC AUGSBURG,"Hahn, Andre",32,30,2737,12,8,37,84,10,0
2013/2014,FC AUGSBURG,"Altintop, Halil",34,34,2714,10,3,29,66,1,0
2013/2014,FC AUGSBURG,"Werner, Tobias",31,25,2098,9,7,17,62,4,0
2013/2014,FC AUGSBURG,"Bobadilla, Raul",17,9,834,3,0,12,31,2,0
2013/2014,FC AUGSBURG,"Verhaegh, Paul",30,29,2513,3,4,5,9,6,0
2013/2014,FC AUGSBURG,"Klavan, Ragnar",30,30,2565,2,0,6,15,0,1
2013/2014,FC AUGSBURG,"Milik, Arkadiusz",18,5,610,2,0,9,15,1,0
2013/2014,FC AUGSBURG,"Molders, Sascha",23,16,1331,2,0,14,45,1,0
2013/2014,FC AUGSBURG,"Callsen-Bracker, Jan-Ingwer",33,33,2909,1,0,6,13,6,0
2013/2014,FC AUGSBURG,"Ji, Dong-Won",12,2,327,1,0,4,9,0,0
2013/2014,FC AUGSBURG,"Vogt, Kevin",28,22,1958,1,1,5,23,5,0
2013/2014,FC AUGSBURG,"Amsif, Mohamed",2,2,180,0,0,0,0,0,0
2013/2014,FC AUGSBURG,"Baier, Daniel",34,34,3060,0,3,11,42,4,0
2013/2014,FC AUGSBURG,"De Jong, Marcel",8,1,190,0,0,0,1,1,0
2013/2014,FC AUGSBURG,"Esswein, Alexander",18,6,735,0,1,8,23,0,0
2013/2014,FC AUGSBURG,"Fetsch, Mathias",1,0,4,0,0,0,0,0,0
2013/2014,FC AUGSBURG,"Hitz, Marwin",19,19,1710,0,0,0,0,0,0
2013/2014,FC AUGSBURG,"Holzhauser, Raphael",13,7,591,0,1,6,16,0,0
2013/2014,FC AUGSBURG,"Hong, Jeong-Ho",16,6,771,0,0,1,7,1,0
2013/2014,FC AUGSBURG,"Kohr, Dominik",10,5,415,0,0,1,3,3,0
2013/2014,FC AUGSBURG,"Manninger, Alexander",13,13,1170,0,0,0,0,0,0
2013/2014,FC AUGSBURG,"Moravek, Jan",16,10,978,0,1,0,17,6,0
2013/2014,FC AUGSBURG,"Ostrzolek, Matthias",33,33,2902,0,6,8,25,9,0
2013/2014,FC AUGSBURG,"Philp, Ronny",8,4,379,0,1,2,5,1,0
2013/2014,FC AUGSBURG,"Reinhardt, Dominik",1,0,14,0,0,0,0,0,0
2013/2014,FC AUGSBURG,"Thommy, Erik",1,0,8,0,0,1,1,0,0
2013/2014,FC AUGSBURG,"Vlachodimos, Panagiotis",1,0,13,0,0,0,0,0,0
2014/2015,FC AUGSBURG,"Bobadilla, Raúl",32,31,2618,10,2,35,82,4,1
2014/2015,FC AUGSBURG,"Werner, Tobias",31,30,2633,8,4,25,66,8,0
2014/2015,FC AUGSBURG,"Verhaegh, Paul",27,27,2338,6,1,8,19,4,1
2014/2015,FC AUGSBURG,"Altintop, Halil",31,30,2471,3,5,10,37,1,0
2014/2015,FC AUGSBURG,"Matavz, Tim",16,4,516,3,1,6,16,0,0
2014/2015,FC AUGSBURG,"Hojbjerg, Pierre-Emile",24,13,1292,2,3,6,32,5,0
2014/2015,FC AUGSBURG,"Klavan, Ragnar",34,34,3060,2,0,6,16,1,0
2014/2015,FC AUGSBURG,"Baier, Daniel",34,34,3055,1,1,7,30,4,0
2014/2015,FC AUGSBURG,Caiuby,22,6,809,1,0,6,30,2,0
2014/2015,FC AUGSBURG,"Callsen-Bracker, Jan-Ingwer",23,22,2052,1,2,3,12,4,0
2014/2015,FC AUGSBURG,"Djurdjic, Nikola",16,7,629,1,1,4,9,1,0
2014/2015,FC AUGSBURG,"Esswein, Alexander",19,10,860,1,3,8,23,0,0
2014/2015,FC AUGSBURG,"Feulner, Markus",25,23,1972,1,0,6,29,7,0
2014/2015,FC AUGSBURG,"Hitz, Marwin",25,25,2250,1,0,1,1,1,0
2014/2015,FC AUGSBURG,"Kohr, Dominik",26,19,1639,1,1,6,17,10,0
2014/2015,FC AUGSBURG,"Molders, Sascha",12,4,347,1,0,4,11,1,0
2014/2015,FC AUGSBURG,"De Jong, Marcel",1,1,56,0,0,0,0,0,0
2014/2015,FC AUGSBURG,"Hong, Jeong-Ho",17,10,939,0,0,1,7,2,0
2014/2015,FC AUGSBURG,"Janker, Christoph",2,1,65,0,0,0,0,0,1
2014/2015,FC AUGSBURG,"Ji, Dong-Won",12,7,582,0,0,1,9,1,0
2014/2015,FC AUGSBURG,"Manninger, Alexander",9,9,810,0,0,0,0,0,0
2014/2015,FC AUGSBURG,"Parker, Shawn",8,1,197,0,1,5,7,1,0
2014/2015,FC AUGSBURG,"Philp, Ronny",2,0,20,0,0,0,0,0,0
2014/2015,FC AUGSBURG,"Rahman, Baba",31,29,2669,0,4,1,9,4,0
2014/2015,FC AUGSBURG,"Thommy, Erik",3,0,38,0,0,1,2,0,0
2015/2016,FC AUGSBURG,"Koo, Ja-Cheol",29,24,2098,8,1,15,39,6,0
2015/2016,FC AUGSBURG,"Finnbogason, Alfred",14,13,1133,7,1,19,33,3,0
2015/2016,FC AUGSBURG,"Verhaegh, Paul",25,25,2200,6,2,8,11,8,0
2015/2016,FC AUGSBURG,"Bobadilla, Raúl",27,19,1810,4,2,24,61,2,1
2015/2016,FC AUGSBURG,Caiuby,26,25,2217,4,5,24,69,11,0
2015/2016,FC AUGSBURG,"Esswein, Alexander",29,22,1806,3,1,13,47,1,0
2015/2016,FC AUGSBURG,"Hong, Jeong-Ho",23,19,1713,2,0,8,16,4,0
2015/2016,FC AUGSBURG,"Altintop, Halil",19,15,1205,1,2,4,14,1,0
2015/2016,FC AUGSBURG,"Baier, Daniel",28,28,2331,1,2,6,18,7,0
2015/2016,FC AUGSBURG,"Callsen-Bracker, Jan-Ingwer",10,8,741,1,0,1,5,1,0
2015/2016,FC AUGSBURG,"Feulner, Markus",19,10,1080,1,0,3,12,5,0
2015/2016,FC AUGSBURG,"Moravek, Jan",11,3,392,1,0,1,6,0,0
2015/2016,FC AUGSBURG,"Stafylidis, Konstantinos",11,8,685,1,0,4,10,2,0
2015/2016,FC AUGSBURG,"Ajeti, Albian",1,0,36,0,0,0,0,0,0
2015/2016,FC AUGSBURG,"Gouweleeuw, Jeffrey",11,11,989,0,0,2,2,2,1
2015/2016,FC AUGSBURG,"Hitz, Marwin",33,33,2967,0,0,0,0,2,0
2015/2016,FC AUGSBURG,"Janker, Christoph",12,3,367,0,0,0,1,2,0
2015/2016,FC AUGSBURG,"Ji, Dong-Won",21,7,782,0,0,3,13,2,0
2015/2016,FC AUGSBURG,"Klavan, Ragnar",31,31,2787,0,0,4,9,2,0
2015/2016,FC AUGSBURG,"Kohr, Dominik",31,30,2510,0,3,2,24,12,0
2015/2016,FC AUGSBURG,"Manninger, Alexander",2,1,93,0,0,0,0,0,0
2015/2016,FC AUGSBURG,"Matavz, Tim",11,3,369,0,0,3,13,1,0
2015/2016,FC AUGSBURG,"Max, Philipp",26,23,2085,0,0,2,8,3,0
2015/2016,FC AUGSBURG,"Molders, Sascha",4,0,26,0,0,1,2,0,0
2015/2016,FC AUGSBURG,"Opare, Daniel",4,4,360,0,0,0,2,2,0
2015/2016,FC AUGSBURG,"Trochowski, Piotr",6,2,151,0,0,1,6,0,0
2015/2016,FC AUGSBURG,"Werner, Tobias",13,7,698,0,1,4,23,2,0
2016/2017,FC AUGSBURG,"Altintop, Halil",31,17,1600,6,2,11,16,1,0
2016/2017,FC AUGSBURG,"Bobadilla, Raúl",18,13,1044,4,1,13,36,1,0
2016/2017,FC AUGSBURG,"Stafylidis, Konstantinos",27,26,2245,4,0,11,44,6,0
2016/2017,FC AUGSBURG,"Finnbogason, Alfred",13,13,1129,3,1,10,21,1,1
2016/2017,FC AUGSBURG,"Hinteregger, Martin",31,31,2773,3,0,9,25,5,0
2016/2017,FC AUGSBURG,"Ji, Dong-Won",34,24,2293,3,2,13,43,4,0
2016/2017,FC AUGSBURG,"Verhaegh, Paul",31,31,2765,3,2,5,10,4,0
2016/2017,FC AUGSBURG,"Gouweleeuw, Jeffrey",18,18,1549,2,1,2,6,4,0
2016/2017,FC AUGSBURG,"Kohr, Dominik",26,21,1964,2,0,8,27,12,1
2016/2017,FC AUGSBURG,"Koo, Ja-Cheol",23,22,1813,2,3,10,29,6,1
2016/2017,FC AUGSBURG,"Baier, Daniel",27,27,2395,1,3,5,25,5,0
2016/2017,FC AUGSBURG,"Max, Philipp",25,20,1817,1,2,6,17,4,0
2016/2017,FC AUGSBURG,"Schmid, Jonathan",25,20,1699,1,3,11,20,1,0
2016/2017,FC AUGSBURG,Caiuby,5,2,245,0,0,1,7,1,0
2016/2017,FC AUGSBURG,"Callsen-Bracker, Jan-Ingwer",1,0,2,0,0,0,0,0,0
2016/2017,FC AUGSBURG,"Danso, Kevin",7,7,613,0,0,0,3,0,0
2016/2017,FC AUGSBURG,"Feulner, Markus",1,0,17,0,0,0,0,0,0
2016/2017,FC AUGSBURG,"Framberger, Raphael",3,2,143,0,1,0,0,0,0
2016/2017,FC AUGSBURG,"Gunther-Schmidt, Julian",4,0,42,0,0,1,3,0,0
2016/2017,FC AUGSBURG,"Hitz, Marwin",32,32,2880,0,0,1,1,4,0
2016/2017,FC AUGSBURG,"Janker, Christoph",15,12,1087,0,0,0,1,4,0
2016/2017,FC AUGSBURG,"Kacar, Gojko",22,11,1097,0,1,1,6,1,0
2016/2017,FC AUGSBURG,"Leitner, Moritz",6,2,236,0,0,0,5,0,0
2016/2017,FC AUGSBURG,"Luthe, Andreas",2,2,180,0,0,0,0,0,0
2016/2017,FC AUGSBURG,"Moravek, Jan",13,10,698,0,0,1,3,2,0
2016/2017,FC AUGSBURG,"Rieder, Tim",5,2,213,0,0,0,1,0,0
2016/2017,FC AUGSBURG,"Schmidt, Julian",4,0,42,0,0,1,3,0,0
2016/2017,FC AUGSBURG,"Teigl, Georg",18,4,659,0,1,1,7,1,0
2016/2017,FC AUGSBURG,"Usami, Takashi",11,5,436,0,0,0,3,0,0
2017/2018,FC AUGSBURG,"Gregoritsch, Michael",32,30,2534,13,2,36,96,3,0
2017/2018,FC AUGSBURG,"Finnbogason, Alfred",22,22,1825,12,3,26,52,2,0
2017/2018,FC AUGSBURG,Caiuby,33,32,2858,5,7,24,76,8,0
2017/2018,FC AUGSBURG,"Córdova, Sergio",26,3,566,2,0,7,14,3,0
2017/2018,FC AUGSBURG,"Danso, Kevin",16,13,1108,2,0,4,9,2,0
2017/2018,FC AUGSBURG,"Koo, Jacheol",28,23,2050,2,0,9,28,2,0
2017/2018,FC AUGSBURG,"Max, Philipp",33,33,2960,2,13,7,19,5,0
2017/2018,FC AUGSBURG,"Thommy, Erik",20,16,1159,2,4,11,35,1,0
2017/2018,FC AUGSBURG,"Kacar, Gojko",6,3,228,1,0,2,2,1,0
2017/2018,FC AUGSBURG,"Khedira, Rani",30,27,2279,1,1,5,9,8,0
2017/2018,FC AUGSBURG,"Richter, Marco",12,6,598,1,0,4,13,0,0
2017/2018,FC AUGSBURG,"Asta, Simon",1,0,10,0,0,0,0,0,0
2017/2018,FC AUGSBURG,"Baier, Daniel",29,29,2541,0,2,5,27,6,0
2017/2018,FC AUGSBURG,"Framberger, Raphael",9,7,697,0,0,1,1,3,0
2017/2018,FC AUGSBURG,"Gouweleeuw, Jeffrey",27,27,2385,0,0,2,16,4,0
2017/2018,FC AUGSBURG,"Heller, Marcel",24,14,1299,0,1,4,12,1,1
2017/2018,FC AUGSBURG,"Hinteregger, Martin",30,29,2655,0,0,4,27,3,0
2017/2018,FC AUGSBURG,"Hitz, Marwin",32,32,2880,0,0,0,1,2,0
2017/2018,FC AUGSBURG,"Jakob, Kilian",1,1,51,0,0,0,1,0,0
2017/2018,FC AUGSBURG,"Janker, Christoph",5,0,73,0,0,0,0,0,0
2017/2018,FC AUGSBURG,"Ji, Dong-Won",3,0,17,0,0,0,0,0,0
2017/2018,FC AUGSBURG,"Luthe, Andreas",2,2,180,0,0,0,0,0,0
2017/2018,FC AUGSBURG,"Moravek, Jan",16,7,700,0,0,1,3,4,1
2017/2018,FC AUGSBURG,"Opare, Daniel",17,17,1418,0,0,1,5,6,0
2017/2018,FC AUGSBURG,"Parker, Shawn",2,0,44,0,0,0,0,1,0
2017/2018,FC AUGSBURG,"Schmid, Jonathan",25,15,1469,0,0,5,23,1,0
2017/2018,FC AUGSBURG,"Stafylidis, Konstantinos",2,0,31,0,0,0,1,0,0
2013/2014,FC SCHALKE 04,"Huntelaar, Klaas-Jan",18,17,1460,12,0,23,60,5,0
2013/2014,FC SCHALKE 04,"Farfán, Jefferson",19,17,1521,9,5,14,30,2,0
2013/2014,FC SCHALKE 04,"Szalai, Adam",28,14,1388,7,0,22,41,2,0
2013/2014,FC SCHALKE 04,"Boateng, Kevin-Prince",28,28,2452,6,2,36,85,6,0
2013/2014,FC SCHALKE 04,"Meyer, Max",30,21,1818,6,3,15,31,3,0
2013/2014,FC SCHALKE 04,"Goretzka, Leon",25,15,1487,4,1,15,41,1,0
2013/2014,FC SCHALKE 04,"Matip, Joel",31,31,2790,3,2,6,18,4,0
2013/2014,FC SCHALKE 04,"Obasi, Chinedu",15,7,582,3,1,6,12,1,0
2013/2014,FC SCHALKE 04,"Draxler, Julian",26,25,2153,2,7,15,45,5,0
2013/2014,FC SCHALKE 04,"Hoger, Marco",8,6,543,2,0,2,3,0,0
2013/2014,FC SCHALKE 04,"Neustadter, Román",32,31,2588,2,5,8,26,4,0
2013/2014,FC SCHALKE 04,"Ayhan, Kaan",14,9,876,1,1,4,11,3,0
2013/2014,FC SCHALKE 04,"Barnetta, Tranquillo",23,20,1657,1,3,16,34,2,0
2013/2014,FC SCHALKE 04,"Howedes, Benedikt",19,18,1510,1,0,5,11,0,2
2013/2014,FC SCHALKE 04,"Jones, Jermaine",14,9,895,1,1,3,9,3,0
2013/2014,FC SCHALKE 04,"Santana, Felipe",20,13,1225,1,1,2,8,0,1
2013/2014,FC SCHALKE 04,"Annan, Anthony",3,0,29,0,0,0,1,0,0
2013/2014,FC SCHALKE 04,"Aogo, Dennis",12,10,919,0,4,2,10,1,0
2013/2014,FC SCHALKE 04,"Clemens, Christian",11,6,506,0,0,3,8,0,0
2013/2014,FC SCHALKE 04,"Fahrmann, Ralf",22,22,1980,0,0,0,0,0,0
2013/2014,FC SCHALKE 04,"Fuchs, Christian",16,9,840,0,2,3,6,1,1
2013/2014,FC SCHALKE 04,"Hildebrand, Timo",12,12,1080,0,0,0,0,0,0
2013/2014,FC SCHALKE 04,"Hoogland, Tim",19,15,1352,0,0,2,7,2,0
2013/2014,FC SCHALKE 04,"Kirchhoff, Jan",9,0,115,0,0,1,2,1,0
2013/2014,FC SCHALKE 04,"Kolasinac, Sead",24,21,1853,0,2,3,10,5,0
2013/2014,FC SCHALKE 04,"Max, Philipp",2,0,3,0,0,0,0,0,0
2013/2014,FC SCHALKE 04,"Papadopoulos, Kyriakos",4,1,81,0,0,0,0,0,1
2013/2014,FC SCHALKE 04,"Pukki, Teemu",1,0,27,0,0,0,0,0,0
2013/2014,FC SCHALKE 04,"Sane, Leroy",1,0,13,0,0,0,0,0,0
2013/2014,FC SCHALKE 04,"Uchida, Atsuto",17,17,1521,0,3,1,1,5,0
2014/2015,FC SCHALKE 04,"Choupo-Moting, Eric Maxim",31,30,2555,9,6,25,65,0,0
2014/2015,FC SCHALKE 04,"Huntelaar, Klaas-Jan",28,27,2437,9,3,36,75,5,1
2014/2015,FC SCHALKE 04,"Meyer, Max",28,22,1853,5,1,12,33,0,0
2014/2015,FC SCHALKE 04,"Barnetta, Tranquillo",22,10,1070,3,4,10,21,0,0
2014/2015,FC SCHALKE 04,"Sane, Leroy",13,7,608,3,0,4,11,1,0
2014/2015,FC SCHALKE 04,"Draxler, Julian",15,8,773,2,1,10,22,1,1
2014/2015,FC SCHALKE 04,"Fuchs, Christian",25,20,1709,2,4,6,16,3,0
2014/2015,FC SCHALKE 04,"Howedes, Benedikt",28,28,2487,2,0,4,11,8,0
2014/2015,FC SCHALKE 04,"Matip, Joel",21,17,1546,2,0,5,19,2,1
2014/2015,FC SCHALKE 04,"Neustadter, Román",29,28,2416,2,0,4,14,6,0
2014/2015,FC SCHALKE 04,"Clemens, Christian",17,7,683,1,0,3,17,0,0
2014/2015,FC SCHALKE 04,"Hoger, Marco",26,26,2080,1,2,8,21,11,0
2014/2015,FC SCHALKE 04,"Aogo, Dennis",25,20,1969,0,1,4,18,8,0
2014/2015,FC SCHALKE 04,"Ayhan, Kaan",15,10,957,0,0,0,5,3,0
2014/2015,FC SCHALKE 04,"Boateng, Kevin-Prince",18,11,1044,0,3,5,24,2,1
2014/2015,FC SCHALKE 04,"Fahrmann, Ralf",25,25,2250,0,0,0,0,0,0
2014/2015,FC SCHALKE 04,"Farfán, Jefferson",9,6,565,0,0,1,8,2,0
2014/2015,FC SCHALKE 04,"Friedrich, Marvin",5,2,245,0,0,0,3,0,0
2014/2015,FC SCHALKE 04,"Giefer, Fabian",2,2,135,0,0,0,0,1,0
2014/2015,FC SCHALKE 04,"Goretzka, Leon",10,3,379,0,0,1,7,1,0
2014/2015,FC SCHALKE 04,"Kirchhoff, Jan",14,12,881,0,0,2,7,2,0
2014/2015,FC SCHALKE 04,"Kolasinac, Sead",6,6,454,0,0,1,4,2,0
2014/2015,FC SCHALKE 04,"Nastasic, Matija",16,16,1440,0,0,3,5,3,0
2014/2015,FC SCHALKE 04,"Obasi, Chinedu",6,1,205,0,0,4,6,0,0
2014/2015,FC SCHALKE 04,"Platte, Felix",2,1,81,0,0,1,3,0,0
2014/2015,FC SCHALKE 04,"Sam, Sidney",11,7,525,0,1,3,8,1,0
2014/2015,FC SCHALKE 04,"Santana, Felipe",4,3,306,0,0,0,3,0,0
2014/2015,FC SCHALKE 04,"Uchida, Atsuto",19,18,1675,0,3,3,5,2,0
2014/2015,FC SCHALKE 04,"Wellenreuther, Timon",8,7,675,0,0,0,0,0,0
2015/2016,FC SCHALKE 04,"Huntelaar, Klaas-Jan",31,29,2482,12,3,24,72,2,0
2015/2016,FC SCHALKE 04,"Sané, Leroy",33,23,2313,8,6,29,68,4,0
2015/2016,FC SCHALKE 04,"Choupo-Moting, Eric-Maxim",28,21,1865,6,2,15,48,1,0
2015/2016,FC SCHALKE 04,"Draxler, Julian",24,22,1773,6,5,20,45,5,1
2015/2016,FC SCHALKE 04,"Meyer, Max",32,27,2322,5,6,22,44,4,0
2015/2016,FC SCHALKE 04,"Matip, Joel",34,34,3060,3,3,8,31,3,0
2015/2016,FC SCHALKE 04,"Schopf, Alessandro",13,5,469,3,1,8,14,1,0
2015/2016,FC SCHALKE 04,"Belhanda, Younes",15,8,811,2,1,7,13,2,0
2015/2016,FC SCHALKE 04,"Di Santo, Franco",25,13,1295,2,1,8,23,3,0
2015/2016,FC SCHALKE 04,"Geis, Johannes",28,27,2332,2,5,9,45,4,1
2015/2016,FC SCHALKE 04,"Goretzka, Leon",25,23,1993,1,3,10,39,5,0
2015/2016,FC SCHALKE 04,"Howedes, Benedikt",15,10,896,1,0,2,8,4,0
2015/2016,FC SCHALKE 04,"Kolasinac, Sead",23,18,1570,1,0,3,13,5,0
2015/2016,FC SCHALKE 04,"Aogo, Dennis",23,20,1850,0,1,2,7,4,0
2015/2016,FC SCHALKE 04,"Ayhan, Kaan",3,1,79,0,0,0,0,1,0
2015/2016,FC SCHALKE 04,"Caiçara, Júnior",23,22,1855,0,3,2,12,7,0
2015/2016,FC SCHALKE 04,"Fahrmann, Ralf",34,34,3059,0,0,0,0,1,0
2015/2016,FC SCHALKE 04,"Friedrich, Marvin",2,0,3,0,0,0,0,0,0
2015/2016,FC SCHALKE 04,"Hoger, Marco",5,3,189,0,0,0,2,2,0
2015/2016,FC SCHALKE 04,"Hojbjerg, Pierre-Emile",23,13,1274,0,1,10,22,3,0
2015/2016,FC SCHALKE 04,"Kehrer, Thilo",1,0,1,0,0,0,0,0,0
2015/2016,FC SCHALKE 04,"Nastasic, Matija",1,1,17,0,0,0,0,0,0
2015/2016,FC SCHALKE 04,"Neustadter, Roman",30,26,2390,0,1,3,11,4,0
2015/2016,FC SCHALKE 04,"Nubel, Alexander",1,0,1,0,0,0,0,0,0
2015/2016,FC SCHALKE 04,"Platte, Felix",12,1,143,0,0,0,3,2,0
2015/2016,FC SCHALKE 04,"Reese, Fabian",1,0,3,0,0,0,0,0,0
2015/2016,FC SCHALKE 04,"Riether, Sascha",17,14,1330,0,0,0,1,3,0
2015/2016,FC SCHALKE 04,"Sam, Sidney",2,0,15,0,0,1,3,0,0
2016/2017,FC SCHALKE 04,"Burgstaller, Guido",18,17,1473,9,2,17,45,1,0
2016/2017,FC SCHALKE 04,"Schopf, Alessandro",28,22,2038,6,2,10,29,4,0
2016/2017,FC SCHALKE 04,"Bentaleb, Nabil",32,28,2551,5,4,11,42,12,0
2016/2017,FC SCHALKE 04,"Goretzka, Leon",30,30,2567,5,3,18,50,2,0
2016/2017,FC SCHALKE 04,"Caligiuri, Daniel",32,27,2224,4,4,10,39,2,0
2016/2017,FC SCHALKE 04,"Choupo-Moting, Eric-Maxim",23,19,1687,3,4,17,46,1,0
2016/2017,FC SCHALKE 04,"Kolasinac, Sead",25,24,2069,3,5,5,17,5,0
2016/2017,FC SCHALKE 04,"Avdijaj, Donis",9,2,294,2,0,4,12,1,0
2016/2017,FC SCHALKE 04,"Embolo, Breel",7,4,340,2,1,4,8,0,0
2016/2017,FC SCHALKE 04,"Huntelaar, Klaas-Jan",16,7,753,2,0,9,24,1,0
2016/2017,FC SCHALKE 04,Coke,8,7,628,1,0,1,8,1,0
2016/2017,FC SCHALKE 04,"Howedes, Benedikt",31,31,2790,1,1,4,17,7,0
2016/2017,FC SCHALKE 04,"Kehrer, Thilo",16,12,1078,1,1,2,13,4,1
2016/2017,FC SCHALKE 04,"Konoplyanka, Yevhen",17,5,604,1,1,5,15,1,0
2016/2017,FC SCHALKE 04,"Meyer, Max",27,18,1667,1,1,10,32,4,0
2016/2017,FC SCHALKE 04,Naldo,19,19,1624,1,0,8,25,1,1
2016/2017,FC SCHALKE 04,"Aogo, Dennis",7,3,288,0,1,0,0,1,0
2016/2017,FC SCHALKE 04,"Badstuber, Holger",11,10,892,0,0,1,1,1,0
2016/2017,FC SCHALKE 04,"Caiçara, Júnior",3,1,107,0,0,0,0,1,0
2016/2017,FC SCHALKE 04,"Di Santo, Franco",12,3,316,0,2,1,6,2,0
2016/2017,FC SCHALKE 04,"Fahrmann, Ralf",34,34,3060,0,0,0,0,3,0
2016/2017,FC SCHALKE 04,"Geis, Johannes",18,17,1332,0,0,4,14,4,0
2016/2017,FC SCHALKE 04,"McKennie, Weston",1,0,13,0,0,0,0,0,0
2016/2017,FC SCHALKE 04,"Nastasic, Matija",22,21,1921,0,0,0,4,6,0
2016/2017,FC SCHALKE 04,"Rahman, Baba",13,7,707,0,2,0,6,2,0
2016/2017,FC SCHALKE 04,"Reese, Fabian",3,1,73,0,0,0,2,0,0
2016/2017,FC SCHALKE 04,"Riether, Sascha",5,3,284,0,0,0,0,0,0
2016/2017,FC SCHALKE 04,"Stambouli, Benjamin",23,15,1294,0,0,1,4,3,1
2016/2017,FC SCHALKE 04,"Tekpetey, Bernard",2,0,4,0,0,0,0,1,0
2017/2018,FC SCHALKE 04,"Burgstaller, Guido",32,24,2328,11,4,28,54,8,0
2017/2018,FC SCHALKE 04,Naldo,34,34,3060,7,2,19,45,4,0
2017/2018,FC SCHALKE 04,"Caligiuri, Daniel",33,32,2918,6,10,19,37,4,0
2017/2018,FC SCHALKE 04,"Bentaleb, Nabil",16,12,1009,4,3,8,15,3,1
2017/2018,FC SCHALKE 04,"Goretzka, Leon",26,21,1983,4,2,18,46,3,0
2017/2018,FC SCHALKE 04,"Konoplyanka, Yevhen",27,18,1567,4,4,15,56,1,0
2017/2018,FC SCHALKE 04,"Di Santo, Franco",30,22,1663,3,1,14,29,4,0
2017/2018,FC SCHALKE 04,"Embolo, Breel",21,9,913,3,0,9,18,4,0
2017/2018,FC SCHALKE 04,"Harit, Amine",31,23,2050,3,4,10,26,3,0
2017/2018,FC SCHALKE 04,"Kehrer, Thilo",28,27,2364,3,0,9,17,4,0
2017/2018,FC SCHALKE 04,"Pjaca, Marko",7,3,259,2,0,3,6,0,0
2017/2018,FC SCHALKE 04,Coke,1,0,1,0,0,0,0,1,0
2017/2018,FC SCHALKE 04,"Fahrmann, Ralf",34,34,3015,0,0,0,0,1,0
2017/2018,FC SCHALKE 04,"Insua, Pablo",1,0,26,0,0,0,0,1,0
2017/2018,FC SCHALKE 04,"McKennie, Weston",22,13,1197,0,0,2,11,3,0
2017/2018,FC SCHALKE 04,"Meyer, Max",24,21,1730,0,0,2,8,6,0
2017/2018,FC SCHALKE 04,"Nastasic, Matija",24,22,1991,0,0,1,6,5,1
2017/2018,FC SCHALKE 04,"Nubel, Alexander",1,0,45,0,0,0,0,0,0
2017/2018,FC SCHALKE 04,"Oczipka, Bastian",29,26,2320,0,1,3,15,2,0
2017/2018,FC SCHALKE 04,"Rahman, Baba",1,0,33,0,0,0,0,0,0
2017/2018,FC SCHALKE 04,"Reese, Fabian",7,0,69,0,0,0,4,0,0
2017/2018,FC SCHALKE 04,"Schopf, Alessandro",15,9,804,0,0,2,8,3,0
2017/2018,FC SCHALKE 04,"Stambouli, Benjamin",28,24,2194,0,2,0,0,4,0
2017/2018,FC SCHALKE 04,"Teuchert, Cedric",4,0,31,0,0,2,5,0,0
2013/2014,FSV MAINZ 05,"Okazaki, Shinji",33,31,2715,15,1,39,74,2,0
2013/2014,FSV MAINZ 05,"Choupo-Moting, Eric Maxim",32,19,2034,10,3,31,82,1,0
2013/2014,FSV MAINZ 05,"Muller, Nicolai",26,22,2003,9,3,16,35,6,0
2013/2014,FSV MAINZ 05,"Malli, Yunus",21,11,1033,5,3,15,29,0,0
2013/2014,FSV MAINZ 05,"Moritz, Christoph",25,21,1661,2,2,4,16,6,0
2013/2014,FSV MAINZ 05,"Saller, Benedikt",15,1,353,2,0,6,11,2,0
2013/2014,FSV MAINZ 05,"Bungert, Niko",10,5,503,1,0,1,3,0,1
2013/2014,FSV MAINZ 05,"Geis, Johannes",33,31,2795,1,6,21,57,4,0
2013/2014,FSV MAINZ 05,"Koo, Ja-Cheol",24,16,1339,1,2,8,18,0,0
2013/2014,FSV MAINZ 05,"Park, Joo-Ho",27,26,2327,1,2,2,5,2,0
2013/2014,FSV MAINZ 05,"Parker, Shawn",11,3,382,1,0,5,9,0,0
2013/2014,FSV MAINZ 05,"Soto, Elkin",20,17,1267,1,0,7,26,2,1
2013/2014,FSV MAINZ 05,"Zimling, Niki",15,13,904,1,2,7,11,4,0
2013/2014,FSV MAINZ 05,"Baumgartlinger, Julian",9,6,491,0,0,0,1,0,0
2013/2014,FSV MAINZ 05,"Bell, Stefan",27,25,2272,0,3,3,13,5,0
2013/2014,FSV MAINZ 05,"Díaz, Júnior",20,15,1477,0,1,2,8,3,0
2013/2014,FSV MAINZ 05,"Fathi, Malik",2,0,47,0,0,1,1,0,0
2013/2014,FSV MAINZ 05,"Karius, Loris",23,23,2070,0,0,0,0,0,0
2013/2014,FSV MAINZ 05,"Koch, Julian",3,2,161,0,0,1,1,1,0
2013/2014,FSV MAINZ 05,"Muller, Heinz",10,10,855,0,0,0,1,1,0
2013/2014,FSV MAINZ 05,"Nedelev, Todor",2,0,16,0,0,0,0,0,0
2013/2014,FSV MAINZ 05,"Noveski, Nikolce",32,32,2835,0,0,6,12,5,0
2013/2014,FSV MAINZ 05,"Polter, Sebastian",13,6,577,0,1,7,13,2,0
2013/2014,FSV MAINZ 05,"Pospech, Zdenek",34,34,3015,0,7,5,17,4,0
